Nome,Data,Hora,Endereço,Link
"MAMA NA VACA",03/02/2024,09:00,"PRACA CAIRO, 90, Santo Antônio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/mama-na-vaca"
"ME RESPEITA QUE EU SOU CRIANÇA!",03/02/2024,09:00,"ALAMEDA DOS JACARANDAS, 1345, São Luíz","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/me-respeita-que-eu-sou-crianca"
"CARNASAMBINHA",03/02/2024,09:00,"RUA RAUL POMPEIA, 106, São Pedro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/carnasambinha"
"BLOCO CLANDESTINAS",03/02/2024,09:00,"RUA AARAO REIS, 510, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-clandestinas"
"BLOCO CANTO DA CIDADE",03/02/2024,10:00,"RUA SAPUCAI, 571, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-canto-da-cidade"
"UAI CE SAMBA",03/02/2024,10:00,"AVENIDA DOS ENGENHEIROS, 574, Castelo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/uai-ce-samba"
"ENTÃO, PLANTA!",03/02/2024,11:00,"RUA MARMORE, 145, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/entao-planta"
"AFLIFOLIA",03/02/2024,12:00,"RUA JOAQUIM LINHARES, 174, Anchieta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/aflifolia"
"BLOCO CARNAVALESCO DEIXA FALAR",03/02/2024,12:00,"RUA DOS AIMORES, 1423, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-carnavalesco-deixa-falar"
"ARRASTÃO BLOCO SHOW",03/02/2024,12:00,"RUA IARA, 182, Pompéia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/arrastao-bloco-show"
"FORRO CABRA CEGA",03/02/2024,12:00,"RUA MARMORE, 184, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/forro-cabra-cega"
"TEM CHURRASCO TODO DIA",03/02/2024,12:00,"RUA JOSE CLEMENTE PEREIRA, 31, Ipiranga","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/tem-churrasco-todo-dia"
"ATENÇÃO CREUZEBECK",03/02/2024,12:30,"RUA MONSENHOR DOMINGOS PINHEIRO, 122, Calafate","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/atencao-creuzebeck"
"A JUSTIÇA NAO É CEGA",03/02/2024,13:00,"RUA EUCLIDES DA CUNHA, 15, Prado","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/a-justica-nao-e-cega"
"PUF-TICTÁ",03/02/2024,13:00,"RUA FERNANDES TOURINHO, 325, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/puf-ticta"
"BLOKO MIAME BEAT",03/02/2024,13:00,"PRACA SANTUARIO SAO GERALDO, 32, São Geraldo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloko-miame-beat-16099"
"BLOCO QUEM É ESSA AI PAPAI",03/02/2024,13:00,"AVENIDA BRASIL, 1145, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-quem-e-essa-ai-papai"
"BLOCO DO BARBA ROXA",03/02/2024,13:00,"RUA CONDE DE LINHARES, 895, Coração de Jesus","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-barba-roxa"
"CÓMO TE LHAMA?",03/02/2024,13:00,"RUA VESPASIANO, 51, Horto Florestal","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/como-te-lhama"
"BLOCO DO AMOR QUEM AMA NÃO MATA",03/02/2024,13:00,"RUA FERNANDES TOURINHO, 200, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-amor-quem-ama-nao-mata"
"BLOCO DA CAPOEIRA BH",03/02/2024,13:00,"PRACA COMENDADOR NEGRAO DE LIMA, 244, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-capoeira-bh"
"JOJÔ E PALITO NA FOLIA DO CARNAVAL",03/02/2024,13:00,"RUA CONDE DE LINHARES, 244, Cidade Jardim","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/jojo-e-palito-na-folia-do-carnaval"
"GAROTA EU VOU PRO CALIFÓRNIA",03/02/2024,13:00,"RUA DOS BANDOLINS, 114, Conjunto Califórnia I","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/garota-eu-vou-pro-california"
"BLOQUINHO RÔ FANTONI",03/02/2024,13:00,"AVENIDA DOS BANDEIRANTES, 1287, Anchieta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquinho-ro-fantoni"
"BLOCO DOS ALAGADOS",03/02/2024,13:30,"AVENIDA SEBASTIAO DE BRITO, 137, Dona Clara","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-dos-alagados"
"BLOCO DO BOLOTA’S",03/02/2024,13:30,"RUA MARMORE, 303, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-bolotas"
"BLOCO DURO",03/02/2024,13:30,"RUA ALVINOPOLIS, 460, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-duro"
"US BEETHOVEN",03/02/2024,14:00,"PRACA DA LIBERDADE, 153, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/us-beethoven"
"BLOCO PRACINHA",03/02/2024,14:00,"PRACA SENHOR BOM JESUS, 50, Bom Jesus","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-pracinha"
"EMORIO",03/02/2024,14:00,"AVENIDA AUGUSTO DE LIMA, 1392, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/emorio"
"BLOCO DEMORÔ",03/02/2024,14:00,"AVENIDA MAGENTA, 558, Vitória","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-demoro-15797"
"BLOCO FURIA LATINA (ANTIGO BLOCO DUROCK)",03/02/2024,14:00,"AVENIDA GETULIO VARGAS, 840, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-furia-latina-antigo-bloco-durock-16225"
"BLOCO DA ANINHA - PAPO DE SAMBA",03/02/2024,14:00,"RUA DOUTOR WILSON GETULIO, 266, Serrano","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-aninha-papo-de-samba"
"BLOCO CSH",03/02/2024,14:00,"RUA CONDE DE MONTE CRISTO, 238, Ipiranga","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-csh"
"BLOCO TÔ DOIDO?",03/02/2024,14:00,"RUA HELIUM, 550, Nova Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-to-doido"
